water_management_name,quotas_subject
Псел,"""Курская область"""
"""Кострома от истока до в/п д. Исады""","""Ярославская область"""
Сим,"""Республика Башкортостан"""
"""Волга (дельта) от в/п Верхнее Лебяжье до устья""","""Республика Калмыкия"""
"""Кострома от истока до в/п д. Исады""","""Вологодская область"""
"""Тура от истока до впадения р.Тагил""","""Свердловская область"""
"""Российская часть бассейна р. Сейм ниже г. Курск""","""Брянская область"""
"""Буй от истока до Кармановоского г/у""","""Пермский край"""
"""Томь от истока до г. Новокузнецк без р. Кондома""","""Республика Хакасия"""
"""Восточный Маныч от истока до Чограйского г/у""","""Ставропольский край"""
"""Терек от г. Моздок до впадения р Сунжа""","""Чеченская Республика"""
"""Томь от г. Новокузнецк до г. Кемерово""","""Кемеровская область"""
"""Малка от Кура-Марьинского канала до устья без р. Баксан""","""Ставропольский край"""
"""Сакмара от впадения р. Большой Ик до устья""","""Оренбургская область"""
"""Российская часть бассейна р. Урал ниже впадения в него р. Сакмара без р. Илек""","""Оренбургская область"""
"""Воронеж от г. Липецк до Воронежского г/у""","""Липецкая область"""
"""Кубань от г.Усть-Джегута до г.Невинномысск без рр. Б. и М. Зеленчук""","""Ставропольский край"""
"""Терек от впадения р. Урсдон до впадения р. Урух""","""Республика Северная Осетия - Алания"""
"""Терек от впадения р. Урсдон до впадения р. Урух""","""Кабардино-Балкарская Республика"""
"""Терек от границы РФ с Грузией до впадения р. Урсдон без р. Ардон""","""Республика Ингушетия"""
"""Кума от впадения р. Мокрая Буйвола до устья""","""Ставропольский край"""
"""Терек от впадения р. Урух до впадения р. Малка""","""Кабардино-Балкарская Республика"""
"""Кума от Отказненского г/у до г. Зеленокумск""","""Ставропольский край"""
"""Подкумок от истока до г. Кисловодск""","""Ставропольский край"""
"""Реки бассейна Японского моря от восточной границы бассейна р. Раздольная до р. Туманная (граница РФ с КНДР)""","""Приморский край"""
"""Верховья р. Алей до Гилевского г/у""","""Алтайский край"""
"""Подкумок от истока до г. Кисловодск""","""Карачаево-Черкесская Республика"""
Беседь,"""Смоленская область"""
"""Восточный Маныч от Чограйского г/у до устья""","""Ставропольский край"""
"""Обь от слияния рр. Бия и Катунь до г. Барнаул без р. Алей""","""Республика Алтай"""
"""Томь от г. Кемерово до устья""","""Новосибирская область"""
