name_basin_district,names_river_basin
"""Уральский бассейновый округ""","""Большой и Малый Узень (российская часть бассейна)"""
"""Анадыро-Колымский бассейновый округ""","""Бассейны рек Охотского моря от Пенжины до х.Сунтар-Хаята"""
"""Нижнеобский бассейновый округ""","""(Нижняя) Обь от впадения Иртыша"""
"""Крымский бассейновый округ""","""Реки полуострова Крым бассейна Азовского моря"""
"""Анадыро-Колымский бассейновый округ""","""Реки Камчатки бассейна Охотского моря (до Пенжины)"""
"""Ангаро-Байкальский бассейновый округ""","""Бассейны рек Южной части оз. Байкал"""
"""Иртышский бассейновый округ""","""Иртыш (российская часть бассейна)"""
"""Амурский бассейновый округ""","""Амур (российская часть бассейна)"""
"""Нижневолжский бассейновый округ""","""Волга от верховий Куйбышевского водохранилища до впадения в Каспийское море"""
"""Енисейский бассейновый округ""",Пясина
"""Ленский бассейновый округ""",Анабар
"""Ленский бассейновый округ""",Индигирка
"""Амурский бассейновый округ""","""Бассейны рек Охотского моря от х.Сунтар-Хаята до Уды"""
"""Балтийский бассейновый округ""","""Неман и реки бассейна Балтийского моря (российская часть в Калининградской обл.)"""
"""Ангаро-Байкальский бассейновый округ""","""Бассейны рек средней и северной части оз. Байкал"""
"""Верхнеобский бассейновый округ""","""Бессточная область междуречья Оби и Иртыша"""
"""Балтийский бассейновый округ""","""Западная Двина (российская часть бассейна)"""
"""Днепровский бассейновый округ""","""Днепр (российская часть бассейна)"""
"""Ангаро-Байкальский бассейновый округ""","""Селенга (российская часть бассейна)"""
"""Баренцево-Беломорский бассейновый округ""","""Бассейны рек Кольского полуострова, впадающих в Баренцево море (российская часть бассейнов)"""
"""Нижнеобский бассейновый округ""",Таз
"""Двинско-Печорский бассейновый округ""",Онега
"""Нижнеобский бассейновый округ""",Пур
"""Ленский бассейновый округ""",Лена
"""Западно-Каспийский бассейновый округ""","""Реки бассейна Каспийского моря на юг от бассейна Терека до Государственной границы РФ (российская часть бассейнов)"""
"""Балтийский бассейновый округ""","""Реки Карелии бассейна Балтийского моря (российская часть бассейнов)"""
"""Верхнеобский бассейновый округ""","""(Верхняя) Обь до впадения Иртыша"""
"""Двинско-Печорский бассейновый округ""","""Бассейны рек Баренцева моря междуречья Печоры и Оби"""
"""Двинско-Печорский бассейновый округ""","""Бассейны рек Баренцева моря междуречья Печоры и Мезени"""
"""Анадыро-Колымский бассейновый округ""",Анадырь
"""Западно-Каспийский бассейновый округ""","""Реки бассейна Каспийского моря междуречья Терека и Волги"""
"""Анадыро-Колымский бассейновый округ""",Колыма
"""Кубанский бассейновый округ""","""Реки бассейна Азовского моря междуречья Кубани и Дона"""
"""Крымский бассейновый округ""","""Реки полуострова Крым бассейна Черного моря"""
"""Балтийский бассейновый округ""","""Нарва (российская часть бассейна)"""
"""Анадыро-Колымский бассейновый округ""","""Бассейны рек Берингова моря (от Чукотки до Анадыря)"""
"""Двинско-Печорский бассейновый округ""","""Северная Двина"""
"""Двинско-Печорский бассейновый округ""","""Бассейны рек о.Новая Земля"""
"""Ленский бассейновый округ""",Оленек
"""Анадыро-Колымский бассейновый округ""","""Бассейны рек Берингова моря (южнее Анадыря)"""
"""Анадыро-Колымский бассейновый округ""","""Бассейны рек Чукотского моря"""
"""Нижнеобский бассейновый округ""","""Реки бассейна Карского моря междуречья Печоры и Оби"""
"""Двинско-Печорский бассейновый округ""",Мезень
"""Нижнеобский бассейновый округ""",Надым
"""Баренцево-Беломорский бассейновый округ""","""Бассейны рек Кольского полуострова и Карелии, впадающих в Белое море (российская часть бассейнов)"""
"""Амурский бассейновый округ""","""Бассейны рек Японского моря"""
"""Днепровский бассейновый округ""","""Днепр (российская часть бассейна)"""
"""Енисейский бассейновый округ""","""Енисей (российская часть бассейна)"""
"""Верхневолжский бассейновый округ""","""Волга до Куйбышевского водохранилища (без бассейна Оки)"""
"""Амурский бассейновый округ""","""Бассейны рек о. Сахалин"""
