water_object_name,organization_name,location_wastewater_locality,location_wastewater_subject,water_object_type
Иртыш,"""Акционерное общество «ОмскВодоканал»""",г.Омск,"""Омская область""",Река
"""вдхр Горьковское""","""Муниципальное унитарное предприятие г. Костромы «Костромагорводоканал»""","""г. Кострома""","""Костромская область""",Водохранилище
Миасс,"""Муниципальное унитарное предприятие «Производственное объединение водоснабжения и водоотведения» г. Челябинска""","""Челябинский городской округ""","""Челябинская область""",Река
"""вдхр Горьковское""","""Муниципальное унитарное предприятие г. Костромы «Костромагорводоканал»""","""д. Коркино""","""Костромская область""",Водохранилище
"""вдхр Горьковское""","""Муниципальное унитарное предприятие г. Костромы «Костромагорводоканал»""","""г. Кострома""","""Костромская область""",Водохранилище
Чернавка,"""Муниципальное унитарное предприятие «Водоканал»""","""д. Воронье""","""Кировская область""",Река
"""Азовское море""","""ГУП РК «Вода Крыма»""","""с. Бондаренково""","""Республика Крым""",Море
"""Онежское озеро""","""АО """"ПКС-Водоканал""""""","""г.Петрозаводск, м.Выгойнаволок""","""Республика Карелия""",Озеро
"""Куйбышевское водохранилище""","""Ульяновское Муниципальное унитарное предприятие водопроводно-канализационного хозяйства «Ульяновскводоканал»""","""г. Ульяновск""","""Ульяновская область""",Водохранилище
Янгаяха,"""Акционерное общество «Энерго-Газ-Ноябрьск»""",г.Ноябрьск,"""Тюменская область""",Река
Северушка,"""Акционерное общество «Северский трубный завод»""","""Полевской городской округ""","""Свердловская область""",Река
Кадат,"""Публичное акционерное общество «Юнипро»""","""г. Шарыпово""","""Красноярский край""",Река
Янгаяха,"""Акционерное общество «Энерго-Газ-Ноябрьск»""",г.Ноябрьск,"""Тюменская область""",Река
Сходня,"""Акционерное общество «Мосводоканал»""","""г. Москва, район Куркино""","""г. Москва""",Река
"""Азовское море""","""ГУП РК «Вода Крыма»""","""с. Бондаренково""","""Республика Крым""",Море
КАЗАНКА,"""Акционерное общество «Высокогорские коммунальные сети»""","""пос. ж/д ст. Высокая Гора""","""Республика Татарстан""",Река
КАЗАНКА,"""Акционерное общество «Высокогорские коммунальные сети»""","""пос. ж/д ст. Высокая Гора""","""Республика Татарстан""",Река
Магаданка,"""МУП г. Магадана «Водоканал»""","""г. Магадан""","""Магаданская область""",Река
Байгора,"""Общество с ограниченной ответственностью «Водоканал»""","""г. Грязи""","""Липецкая область""",Река
Воронеж,"""Муниципальное унитарное предприятие «Липецкая станция аэрации»""","""г. Липецк""","""Липецкая область""",Река
"""Невская губа""","""Государственное унитарное предприятие «Водоканал Санкт-Петербурга»""","""г. Санкт-Петербург""",Санкт-Петербург,Губа
Великая,"""Муниципальное предприятие г. Пскова «Горводоканал»""","""Завеличенская волость""","""Псковская область""",Река
ЮХОТЬ,"""Государственное предприятие Ярославской области «Северный водоканал»""","""с. Большое Село Большесельского муниципального района""","""Ярославская область""",Река
ЮХОТЬ,"""Государственное предприятие Ярославской области «Северный водоканал»""","""с. Большое Село Большесельского муниципального района""","""Ярославская область""",Река
КАЗАНКА,"""Акционерное общество «Высокогорские коммунальные сети»""","""пос. ж/д ст. Высокая Гора""","""Республика Татарстан""",Река
МОЧА,"""Акционерное общество «Мосводоканал»""","""поселение Щаповское""",Москва,Река
"""Черное море""","""ГУП РК «Вода Крыма»""","""г. Феодосия""","""Республика Крым""",Море
"""Черное море""","""ГУП РК «Вода Крыма»""","""г. Алушта""","""Республика Крым""",Море
КАЗАНКА,"""Акционерное общество «Высокогорские коммунальные сети»""","""пос. ж/д ст. Высокая Гора""","""Республика Татарстан""",Река
Вязьма,"""Общество с ограниченной ответственностью «Региональные Объединенные системы водоснабжения и водоотведения Смоленской области»""","""г. Вязьма""","""Смоленская область""",Река
