water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""Р.ДНЕПР,Г.СМОЛЕНСК,1,2КМ НИЖ ГОРОДА""","""4А Грязная""",Хлоpиды
"""р.Егорлык - с.Новый Егорлык""","""4А Грязная""",Цинк
"""р.Терек - г.Владикавказ""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Белая - г.Стерлитамак""","""4А Грязная""",БПК5
"""Р.ОБЬ - Г.БАРНАУЛ""","""3Б Очень загрязненная""",NH4
"""р.Обь - г.Салехард""","""4Б Грязная""",Маpганец
"""р.УРАЛ - г.ВЕРХНЕУРАЛЬСК""","""3Б Очень загрязненная""",Хлоpиды
"""р.Обь - д.Белогорье""","""4А Грязная""",SO4
"""Р.АНГАРА - БРАТСКАЯ ГЭС Н/Б,Г.УСОЛЬЕ-СИБИРСКОЕ,В ЧЕРТЕ ГОРОД""","""1 Условно чистая""",NH4
"""р.Уссури - г.Лесозаводск""","""3А Загрязненная""",NO3
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3Б Очень загрязненная""",NO3
"""р.Рудная - г.Дальнегорск""","""4Б Грязная""",Цинк
"""р.Кубань - г.Краснодар""","""3А Загрязненная""",NH4
"""р.Ангара - д.Татарка""","""3Б Очень загрязненная""",NH4
"""р.Енисей - г.Дивногорск""","""3А Загрязненная""",Алюминий
"""р.УРАЛ - г.ВЕРХНЕУРАЛЬСК""","""3Б Очень загрязненная""",Фосфаты
"""р.Колыма - с.Колымское""","""3Б Очень загрязненная""",Медь
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""","""Окисл. Бихp."""
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",NH4
"""р.Лена - р.п.Качуг""","""2 Слабо загрязненная""",NO3
"""р.Лена - г.Якутск""","""3А Загрязненная""",Цинк
"""р.Амгунь - с.Осипенко""","""4А Грязная""",Нефтепpод.
"""р.Белая - г.Стерлитамак""","""4А Грязная""",NO3
"""р.Дон - г.Лиски""","""3А Загрязненная""",Кислоpод
