Наименование ОВР,БВУ,Субъекты РФ,Адрес,
ОВР по Херсонской области Донского БВУ,Донское БВУ,,"Россия, Запорожская обл, Мелитопольский рн, г. Мелитополь, ул. Красноармейская, д. 46",
ОВР по Запорожской области Донского БВУ,Донское БВУ,,"Россия, Запорожская обл, Мелитопольский рн, г. Мелитополь, ул. Красноармейская, д. 46",
ОВР по Луганской Народной Республике Донского БВУ,Донское БВУ,,"ЛНР, г. Луганск, ул. Ленина, д. 49, (каб. 3)",
ОВР по Донецкой Народной Республике Донского БВУ,Донское БВУ,,"ДНР, г. Донецк, пр. Освобождения Донбасса, д. 8Б, (каб. 37)",
ОВР по Республике Дагестан Западно-Каспийского БВУ,Западно-Каспийское БВУ,Республика Дагестан,"г. Махачкала, ул. Абдулы Гаджиева, д.18а",
ОВР по Ямало-Ненецкому АО Нижне-Обского БВУ,Нижне-Обское БВУ,Ямало-Ненецкий автономный округ,"г. Салехард, ул. Ямальская, д. 12,  каб. 1",
ОВР по Ханты-мансийскому АО-Югре Нижне-Обского БВУ,Нижне-Обское БВУ,Ханты-Мансийский автономный округ-Югра,"г. Ханты-Мансийск, ул. Геологов, д. 81, каб.201",
ОВР по Челябинской области Нижне-Обского БВУ,Нижне-Обское БВУ,Челябинская область,"г. Челябинск, ул. Калинина, д. 13а, каб.1",
ОВР по Свердловской области Нижне-Обского БВУ,Нижне-Обское БВУ,Свердловская область,"г. Екатеринбург, ул. Мира, д. 23",
ОВР по Омской области Нижне-Обского БВУ,Нижне-Обское БВУ,Омская область,"г. Омск, ул. Степна, д. 220, каб. 303",
ОВР по Курганской области Нижне-Обского БВУ,Нижне-Обское БВУ,Курганская область,"г. Курган, ул. М. Горького, д. 41",
ОВР по Оренбургской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Оренбургская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Республике Татарстан Нижне-Волжское БВУ,Нижне-Волжское БВУ,Республика Татарстан,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Ульяновской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Ульяновская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Самарской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Самарская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Саратовской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Саратовская область,"г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Волгоградской области Нижне-Волжское БВУ,Нижне-Волжское БВУ,Волгоградская область,"г. Волгоград, ул. Профсоюзная, 30",
ОВР по Астраханской области и Республике Калмыкия Нижне-Волжское БВУ,Нижне-Волжское БВУ,Республика Калмыкия;Астраханская область," г. Волгоград, ул. Профсоюзная, д. 30",
ОВР по Республике Карелия Невско-Ладожского БВУ,Невско-Ладожское БВУ,Республика Карелия,"г. Петрозаводск, пр. Александра Невского, д. 28",
ОВР по Калининградской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,Калининградская область,"г. Калининград, пр. Победы, д.161, каб.401",
ОВР по Новгородской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,Новгородская область,"г. Великий Новгород, пр. Мира, д. 22/5",
ОВР по Псковской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,Псковская область,"г. Псков, ул. Стахановская, д.10а",
ОВР по Санкт-Петербургу и Ленинградской области Невско-Ладожского БВУ,Невско-Ладожское БВУ,"Санкт-Петербург, город федерального назначения;Ленинградская область","Санкт-Петербург, Средний пр. В.О., д.26",
"ОВР по г. Москва, Московской и Тверской областям Московско-Окского БВУ",Московско-Окское  БВУ,"Тверская область;Московская область;Москва, город федерального назначения","г. Москва, ул. Верхняя Красносельская, д. 17А, стр. 1Б",
"ОВР по Брянской, Калужской и Смоленской областям Московско-Окского БВУ",Московско-Окское  БВУ,Смоленская область;Калужская область;Брянская область,"г. Брянск, ул. Калинина, д. 34",
"ОВР по Орловской, Рязанской и Тульской областям Московско-Окского БВУ",Московско-Окское  БВУ,Тульская область;Рязанская область;Орловская область,"г. Рязань, Московское шоссе, д.12",
ОВР по Магаданской области Ленского БВУ,Ленское БВУ,Магаданская область,"г. Магадан, ул. Пролетарская, д. 11",
ОВР по Республике Адыгея и Краснодарскому краю Кубанского БВУ,Кубанское БВУ,Республика Адыгея;Краснодарский край,"г. Краснодар, ул. Красная, д. 180-а",
ОВР по Карачаево–Черкесской республике Кубанского БВУ,Кубанское БВУ,Республика Карачаево-Черкесия,"г. Краснодар, ул. Красная, д. 180-а",
ОВР по Ставропольскому  краю Кубанского БВУ,Кубанское БВУ,Ставропольский край,"г. Краснодар, ул. Красная, д. 180-а",
ОВР по Кировской области Камского БВУ,Камское БВУ,Кировская область,"г. Киров, ул. Воровского, д. 78, каб.73",
